Date,High-Tech Policy Uncertainty
2021/3/31,96.7741935
2021/4/30,93.3333333
2021/5/31,85.483871
2021/6/30,83.3333333
2021/7/31,88.7096774
2021/8/31,95.1612903
2021/9/30,96.6666667
2021/10/31,83.8709677
2021/11/30,93.3333333
2021/12/31,100
2022/1/31,95.1612903
2022/2/28,80.3571429
2022/3/31,95.1612903
2022/4/30,98.3333333
2022/5/31,95.1612903
2022/6/30,98.3333333
2022/7/31,96.7741935
2022/8/31,98.3870968
2022/9/30,91.6666667
2022/10/31,87.0967742
2022/11/30,93.3333333
2022/12/31,100
2023/1/31,90.3225806
2023/2/28,96.3636364
2023/3/31,98.3870968
2023/4/30,98.3333333
2023/5/31,93.5483871
2023/6/30,86.6666667
2023/7/31,95.1612903
2023/8/31,95.0819672
2023/9/30,85
2023/10/31,74.1935484
2023/11/30,90
2023/12/31,94.4444444
