Date,AI Policy Uncertainty
2018/7/31,98.3870968
2018/8/31,96.7741935
2018/9/30,95
2018/10/31,75.8064516
2018/11/30,93.3333333
2018/12/31,91.9354839
2019/1/31,90.3225806
2019/2/28,69.6428571
2019/3/31,88.7096774
2019/4/30,91.6666667
2019/5/31,85.483871
2019/6/30,91.6666667
2019/7/31,90.3225806
2019/8/31,96.7741935
2019/9/30,88.3333333
2019/10/31,83.8709677
2019/11/30,93.3333333
2019/12/31,91.9354839
2020/1/31,70.9677419
2020/2/29,79.3103448
2020/3/31,91.9354839
2020/4/30,95
2020/5/31,83.8709677
2020/6/30,88.3333333
2020/7/31,98.3870968
2020/8/31,90.3225806
2020/9/30,91.6666667
2020/10/31,91.9354839
2020/11/30,96.6666667
2020/12/31,93.5483871
2021/1/31,95.1612903
2021/2/28,76.7857143
2021/3/31,96.7741935
2021/4/30,88.3333333
2021/5/31,85.483871
2021/6/30,80
2021/7/31,88.7096774
2021/8/31,93.5483871
2021/9/30,96.6666667
2021/10/31,82.2580645
2021/11/30,91.6666667
2021/12/31,96.7741935
2022/1/31,87.0967742
2022/2/28,76.7857143
2022/3/31,95.1612903
2022/4/30,95
2022/5/31,91.9354839
2022/6/30,98.3333333
2022/7/31,93.5483871
2022/8/31,98.3870968
2022/9/30,90
2022/10/31,82.2580645
2022/11/30,93.3333333
2022/12/31,98.3870968
2023/1/31,83.8709677
2023/2/28,96.3636364
2023/3/31,96.7741935
2023/4/30,96.6666667
2023/5/31,93.5483871
2023/6/30,86.6666667
2023/7/31,95.1612903
2023/8/31,93.442623
2023/9/30,85
2023/10/31,72.5806452
2023/11/30,90
2023/12/31,94.4444444
